momento_descarga_utc,pronostico_para,temp_ecmwf,temp_gfs,temp_icon
2026-03-09 00:29,2026-03-09 00:00,,17.1,17.8
2026-03-09 00:29,2026-03-09 01:00,,16.7,17.1
2026-03-09 00:29,2026-03-09 02:00,,16.2,16.5
2026-03-09 00:29,2026-03-09 03:00,,15.9,16.1
2026-03-09 00:29,2026-03-09 04:00,,15.6,16.0
2026-03-09 00:29,2026-03-09 05:00,,15.1,15.9
2026-03-09 00:29,2026-03-09 06:00,,14.7,15.6
2026-03-09 00:29,2026-03-09 07:00,,14.6,15.6
2026-03-09 00:29,2026-03-09 08:00,,14.3,15.9
2026-03-09 00:29,2026-03-09 09:00,,13.9,15.9
2026-03-09 00:29,2026-03-09 10:00,,14.3,15.6
2026-03-09 00:29,2026-03-09 11:00,,14.6,15.5
2026-03-09 00:29,2026-03-09 12:00,,14.7,15.7
2026-03-09 00:29,2026-03-09 13:00,,14.9,16.2
2026-03-09 00:29,2026-03-09 14:00,,15.4,18.0
2026-03-09 00:29,2026-03-09 15:00,,16.6,19.6
2026-03-09 00:29,2026-03-09 16:00,,17.4,21.0
2026-03-09 00:29,2026-03-09 17:00,,18.6,22.7
2026-03-09 00:29,2026-03-09 18:00,,19.2,24.3
2026-03-09 00:29,2026-03-09 19:00,,20.7,25.1
2026-03-09 00:29,2026-03-09 20:00,,21.8,25.8
2026-03-09 00:29,2026-03-09 21:00,,21.8,25.3
2026-03-09 00:29,2026-03-09 22:00,,22.0,24.6
2026-03-09 00:29,2026-03-09 23:00,,20.6,24.0
2026-03-09 00:29,2026-03-10 00:00,,19.0,22.3
2026-03-09 00:29,2026-03-10 01:00,,18.1,21.2
2026-03-09 00:29,2026-03-10 02:00,,17.8,20.3
2026-03-09 00:29,2026-03-10 03:00,,17.3,19.2
2026-03-09 00:29,2026-03-10 04:00,,16.7,18.6
2026-03-09 00:29,2026-03-10 05:00,,16.0,18.0
2026-03-09 00:29,2026-03-10 06:00,,16.1,17.6
2026-03-09 00:29,2026-03-10 07:00,,15.7,17.3
2026-03-09 00:29,2026-03-10 08:00,,15.7,16.9
2026-03-09 00:29,2026-03-10 09:00,,15.5,17.0
