momento_descarga_utc,pronostico_para,temp_ecmwf,temp_gfs,temp_icon
2026-03-09 00:29,2026-03-09 00:00,,13.2,14.4
2026-03-09 00:29,2026-03-09 01:00,,12.4,13.6
2026-03-09 00:29,2026-03-09 02:00,,11.5,12.7
2026-03-09 00:29,2026-03-09 03:00,,10.4,11.9
2026-03-09 00:29,2026-03-09 04:00,,9.4,11.6
2026-03-09 00:29,2026-03-09 05:00,,8.4,11.2
2026-03-09 00:29,2026-03-09 06:00,,7.7,9.9
2026-03-09 00:29,2026-03-09 07:00,,7.4,9.3
2026-03-09 00:29,2026-03-09 08:00,,7.0,8.9
2026-03-09 00:29,2026-03-09 09:00,,5.4,8.2
2026-03-09 00:29,2026-03-09 10:00,,4.9,7.3
2026-03-09 00:29,2026-03-09 11:00,,4.3,7.2
2026-03-09 00:29,2026-03-09 12:00,,4.6,7.2
2026-03-09 00:29,2026-03-09 13:00,,7.9,8.6
2026-03-09 00:29,2026-03-09 14:00,,11.4,11.3
2026-03-09 00:29,2026-03-09 15:00,,14.1,13.7
2026-03-09 00:29,2026-03-09 16:00,,15.7,15.9
2026-03-09 00:29,2026-03-09 17:00,,15.2,17.7
2026-03-09 00:29,2026-03-09 18:00,,16.1,19.1
2026-03-09 00:29,2026-03-09 19:00,,16.6,19.5
2026-03-09 00:29,2026-03-09 20:00,,16.9,18.7
2026-03-09 00:29,2026-03-09 21:00,,16.0,17.6
2026-03-09 00:29,2026-03-09 22:00,,13.1,15.7
2026-03-09 00:29,2026-03-09 23:00,,10.4,13.5
2026-03-09 00:29,2026-03-10 00:00,,9.5,12.1
2026-03-09 00:29,2026-03-10 01:00,,9.3,11.1
2026-03-09 00:29,2026-03-10 02:00,,8.6,10.9
2026-03-09 00:29,2026-03-10 03:00,,7.7,10.8
2026-03-09 00:29,2026-03-10 04:00,,7.0,10.5
2026-03-09 00:29,2026-03-10 05:00,,6.3,10.1
2026-03-09 00:29,2026-03-10 06:00,,5.5,9.7
2026-03-09 00:29,2026-03-10 07:00,,5.6,9.3
2026-03-09 00:29,2026-03-10 08:00,,6.0,8.9
2026-03-09 00:29,2026-03-10 09:00,,6.4,8.6
2026-03-09 00:29,2026-03-10 10:00,,6.9,8.3
2026-03-09 00:29,2026-03-10 11:00,,7.1,7.9
2026-03-09 00:29,2026-03-10 12:00,,7.1,7.9
2026-03-09 00:29,2026-03-10 13:00,,7.5,9.1
2026-03-09 00:29,2026-03-10 14:00,,8.5,11.5
2026-03-09 00:29,2026-03-10 15:00,,11.3,14.1
2026-03-09 00:29,2026-03-10 16:00,,14.1,16.6
2026-03-09 00:29,2026-03-10 17:00,,16.0,18.7
2026-03-09 00:29,2026-03-10 18:00,,18.3,19.8
2026-03-09 00:29,2026-03-10 19:00,,19.3,19.7
2026-03-09 00:29,2026-03-10 20:00,,17.6,18.7
2026-03-09 00:29,2026-03-10 21:00,,15.9,16.7
2026-03-09 00:29,2026-03-10 22:00,,14.7,14.6
2026-03-09 00:29,2026-03-10 23:00,,13.0,12.6
2026-03-09 00:29,2026-03-11 00:00,,12.4,11.5
2026-03-09 00:29,2026-03-11 01:00,,12.5,11.2
2026-03-09 00:29,2026-03-11 02:00,,12.5,10.9
2026-03-09 00:29,2026-03-11 03:00,,12.5,10.9
2026-03-09 00:29,2026-03-11 04:00,,12.3,10.7
2026-03-09 00:29,2026-03-11 05:00,,11.5,10.4
2026-03-09 00:29,2026-03-11 06:00,,11.3,10.1
2026-03-09 00:29,2026-03-11 07:00,,11.2,9.7
2026-03-09 00:29,2026-03-11 08:00,,11.1,9.2
2026-03-09 00:29,2026-03-11 09:00,,10.6,8.9
2026-03-09 00:29,2026-03-11 10:00,,10.0,8.9
2026-03-09 00:29,2026-03-11 11:00,,9.0,8.7
2026-03-09 00:29,2026-03-11 12:00,,8.9,8.7
2026-03-09 00:29,2026-03-11 13:00,,9.5,9.2
2026-03-09 00:29,2026-03-11 14:00,,10.5,10.5
2026-03-09 00:29,2026-03-11 15:00,,11.8,12.3
2026-03-09 00:29,2026-03-11 16:00,,12.3,14.0
2026-03-09 00:29,2026-03-11 17:00,,12.7,15.2
2026-03-09 00:29,2026-03-11 18:00,,13.1,15.8
2026-03-09 00:29,2026-03-11 19:00,,13.3,15.5
2026-03-09 00:29,2026-03-11 20:00,,13.8,14.9
2026-03-09 00:29,2026-03-11 21:00,,13.8,15.3
2026-03-09 00:29,2026-03-11 22:00,,16.0,14.4
2026-03-09 00:29,2026-03-11 23:00,,18.5,13.1
