momento_descarga_utc,pronostico_para,temp_ecmwf,temp_gfs,temp_icon
2026-03-09 00:29,2026-03-09 00:00,,24.3,24.6
2026-03-09 00:29,2026-03-09 01:00,,23.6,23.9
2026-03-09 00:29,2026-03-09 02:00,,23.0,23.6
2026-03-09 00:29,2026-03-09 03:00,,22.7,23.3
2026-03-09 00:29,2026-03-09 04:00,,22.1,23.2
2026-03-09 00:29,2026-03-09 05:00,,21.8,23.1
2026-03-09 00:29,2026-03-09 06:00,,21.6,23.0
2026-03-09 00:29,2026-03-09 07:00,,21.5,22.9
2026-03-09 00:29,2026-03-09 08:00,,21.1,22.7
2026-03-09 00:29,2026-03-09 09:00,,20.8,22.6
2026-03-09 00:29,2026-03-09 10:00,,21.0,22.5
2026-03-09 00:29,2026-03-09 11:00,,20.5,22.4
2026-03-09 00:29,2026-03-09 12:00,,20.7,22.2
2026-03-09 00:29,2026-03-09 13:00,,22.6,23.4
2026-03-09 00:29,2026-03-09 14:00,,24.9,25.2
2026-03-09 00:29,2026-03-09 15:00,,25.6,26.5
2026-03-09 00:29,2026-03-09 16:00,,26.1,27.7
2026-03-09 00:29,2026-03-09 17:00,,27.6,28.5
2026-03-09 00:29,2026-03-09 18:00,,27.8,29.1
2026-03-09 00:29,2026-03-09 19:00,,28.1,29.0
2026-03-09 00:29,2026-03-09 20:00,,27.5,28.7
2026-03-09 00:29,2026-03-09 21:00,,27.1,28.1
2026-03-09 00:29,2026-03-09 22:00,,26.3,26.9
2026-03-09 00:29,2026-03-09 23:00,,25.2,25.7
2026-03-09 00:29,2026-03-10 00:00,,24.0,24.6
2026-03-09 00:29,2026-03-10 01:00,,23.4,24.0
2026-03-09 00:29,2026-03-10 02:00,,22.8,23.7
2026-03-09 00:29,2026-03-10 03:00,,22.2,23.5
2026-03-09 00:29,2026-03-10 04:00,,21.7,23.3
2026-03-09 00:29,2026-03-10 05:00,,21.4,23.1
2026-03-09 00:29,2026-03-10 06:00,,20.9,23.0
2026-03-09 00:29,2026-03-10 07:00,,20.7,22.9
2026-03-09 00:29,2026-03-10 08:00,,20.0,22.7
2026-03-09 00:29,2026-03-10 09:00,,19.5,22.5
2026-03-09 00:29,2026-03-10 10:00,,19.3,22.4
2026-03-09 00:29,2026-03-10 11:00,,19.2,22.4
2026-03-09 00:29,2026-03-10 12:00,,19.1,22.4
2026-03-09 00:29,2026-03-10 13:00,,22.3,23.7
2026-03-09 00:29,2026-03-10 14:00,,25.4,25.7
2026-03-09 00:29,2026-03-10 15:00,,26.8,27.0
2026-03-09 00:29,2026-03-10 16:00,,27.6,27.7
2026-03-09 00:29,2026-03-10 17:00,,28.1,28.6
2026-03-09 00:29,2026-03-10 18:00,,28.3,29.2
2026-03-09 00:29,2026-03-10 19:00,,28.3,29.3
2026-03-09 00:29,2026-03-10 20:00,,28.2,28.9
2026-03-09 00:29,2026-03-10 21:00,,27.8,28.2
2026-03-09 00:29,2026-03-10 22:00,,27.2,27.2
2026-03-09 00:29,2026-03-10 23:00,,26.2,25.9
2026-03-09 00:29,2026-03-11 00:00,,25.5,24.7
2026-03-09 00:29,2026-03-11 01:00,,25.2,24.1
2026-03-09 00:29,2026-03-11 02:00,,25.0,23.9
2026-03-09 00:29,2026-03-11 03:00,,24.8,23.6
2026-03-09 00:29,2026-03-11 04:00,,24.6,23.7
2026-03-09 00:29,2026-03-11 05:00,,24.4,23.7
