momento_descarga_utc,pronostico_para,temp_ecmwf,temp_gfs,temp_icon
2026-03-09 00:29,2026-03-09 00:00,,20.7,19.4
2026-03-09 00:29,2026-03-09 01:00,,20.6,18.8
2026-03-09 00:29,2026-03-09 02:00,,20.7,18.5
2026-03-09 00:29,2026-03-09 03:00,,20.5,18.3
2026-03-09 00:29,2026-03-09 04:00,,20.1,18.3
2026-03-09 00:29,2026-03-09 05:00,,19.8,18.2
2026-03-09 00:29,2026-03-09 06:00,,19.6,18.0
2026-03-09 00:29,2026-03-09 07:00,,19.6,17.7
2026-03-09 00:29,2026-03-09 08:00,,19.4,17.3
2026-03-09 00:29,2026-03-09 09:00,,19.1,16.7
2026-03-09 00:29,2026-03-09 10:00,,18.8,16.1
2026-03-09 00:29,2026-03-09 11:00,,19.8,17.5
2026-03-09 00:29,2026-03-09 12:00,,21.1,20.6
2026-03-09 00:29,2026-03-09 13:00,,22.6,22.7
2026-03-09 00:29,2026-03-09 14:00,,23.6,24.1
2026-03-09 00:29,2026-03-09 15:00,,24.4,25.1
2026-03-09 00:29,2026-03-09 16:00,,25.1,25.8
2026-03-09 00:29,2026-03-09 17:00,,25.8,26.2
2026-03-09 00:29,2026-03-09 18:00,,26.3,26.2
2026-03-09 00:29,2026-03-09 19:00,,26.4,25.9
2026-03-09 00:29,2026-03-09 20:00,,26.0,25.1
2026-03-09 00:29,2026-03-09 21:00,,25.2,24.2
2026-03-09 00:29,2026-03-09 22:00,,23.3,22.5
2026-03-09 00:29,2026-03-09 23:00,,20.7,20.5
2026-03-09 00:29,2026-03-10 00:00,,19.6,19.3
2026-03-09 00:29,2026-03-10 01:00,,19.2,18.6
2026-03-09 00:29,2026-03-10 02:00,,19.1,18.3
2026-03-09 00:29,2026-03-10 03:00,,19.2,18.1
2026-03-09 00:29,2026-03-10 04:00,,19.6,17.9
2026-03-09 00:29,2026-03-10 05:00,,19.6,17.7
2026-03-09 00:29,2026-03-10 06:00,,19.3,17.6
2026-03-09 00:29,2026-03-10 07:00,,18.7,17.7
2026-03-09 00:29,2026-03-10 08:00,,18.3,17.3
2026-03-09 00:29,2026-03-10 09:00,,17.8,16.9
2026-03-09 00:29,2026-03-10 10:00,,17.5,16.7
2026-03-09 00:29,2026-03-10 11:00,,18.9,18.0
2026-03-09 00:29,2026-03-10 12:00,,20.9,20.7
2026-03-09 00:29,2026-03-10 13:00,,22.7,22.9
2026-03-09 00:29,2026-03-10 14:00,,24.4,24.5
2026-03-09 00:29,2026-03-10 15:00,,25.6,25.7
2026-03-09 00:29,2026-03-10 16:00,,26.5,26.3
2026-03-09 00:29,2026-03-10 17:00,,27.1,26.5
2026-03-09 00:29,2026-03-10 18:00,,27.4,26.5
2026-03-09 00:29,2026-03-10 19:00,,27.3,26.1
2026-03-09 00:29,2026-03-10 20:00,,26.7,25.5
2026-03-09 00:29,2026-03-10 21:00,,25.7,24.6
2026-03-09 00:29,2026-03-10 22:00,,23.7,23.0
2026-03-09 00:29,2026-03-10 23:00,,21.7,20.8
2026-03-09 00:29,2026-03-11 00:00,,20.3,19.2
2026-03-09 00:29,2026-03-11 01:00,,19.9,18.2
2026-03-09 00:29,2026-03-11 02:00,,20.0,17.4
2026-03-09 00:29,2026-03-11 03:00,,19.7,16.7
2026-03-09 00:29,2026-03-11 04:00,,19.6,16.1
2026-03-09 00:29,2026-03-11 05:00,,19.5,15.7
2026-03-09 00:29,2026-03-11 06:00,,18.8,15.6
2026-03-09 00:29,2026-03-11 07:00,,18.5,15.5
2026-03-09 00:29,2026-03-11 08:00,,18.4,15.3
2026-03-09 00:29,2026-03-11 09:00,,18.2,15.1
2026-03-09 00:29,2026-03-11 10:00,,17.9,15.0
2026-03-09 00:29,2026-03-11 11:00,,19.7,16.7
2026-03-09 00:29,2026-03-11 12:00,,21.9,20.3
2026-03-09 00:29,2026-03-11 13:00,,23.8,23.2
2026-03-09 00:29,2026-03-11 14:00,,25.2,25.3
2026-03-09 00:29,2026-03-11 15:00,,26.4,26.6
2026-03-09 00:29,2026-03-11 16:00,,27.3,27.2
2026-03-09 00:29,2026-03-11 17:00,,27.8,27.7
2026-03-09 00:29,2026-03-11 18:00,,28.0,27.6
2026-03-09 00:29,2026-03-11 19:00,,28.0,27.5
2026-03-09 00:29,2026-03-11 20:00,,27.5,26.6
2026-03-09 00:29,2026-03-11 21:00,,26.5,25.4
2026-03-09 00:29,2026-03-11 22:00,,24.6,23.8
2026-03-09 00:29,2026-03-11 23:00,,22.0,21.5
