momento_descarga_utc,pronostico_para,temp_ecmwf,temp_gfs,temp_icon
2026-03-09 00:29,2026-03-09 00:00,,21.1,21.2
2026-03-09 00:29,2026-03-09 01:00,,20.7,21.1
2026-03-09 00:29,2026-03-09 02:00,,20.5,20.9
2026-03-09 00:29,2026-03-09 03:00,,20.2,20.7
2026-03-09 00:29,2026-03-09 04:00,,20.1,20.5
2026-03-09 00:29,2026-03-09 05:00,,19.9,20.3
2026-03-09 00:29,2026-03-09 06:00,,19.5,20.2
2026-03-09 00:29,2026-03-09 07:00,,19.4,20.2
2026-03-09 00:29,2026-03-09 08:00,,19.3,20.2
2026-03-09 00:29,2026-03-09 09:00,,19.3,20.2
2026-03-09 00:29,2026-03-09 10:00,,19.4,20.3
2026-03-09 00:29,2026-03-09 11:00,,20.1,21.2
2026-03-09 00:29,2026-03-09 12:00,,21.1,22.3
2026-03-09 00:29,2026-03-09 13:00,,22.4,23.4
2026-03-09 00:29,2026-03-09 14:00,,24.1,24.4
2026-03-09 00:29,2026-03-09 15:00,,25.2,24.5
2026-03-09 00:29,2026-03-09 16:00,,23.7,24.8
2026-03-09 00:29,2026-03-09 17:00,,23.5,25.0
2026-03-09 00:29,2026-03-09 18:00,,22.9,25.1
2026-03-09 00:29,2026-03-09 19:00,,22.0,24.2
2026-03-09 00:29,2026-03-09 20:00,,21.2,23.2
2026-03-09 00:29,2026-03-09 21:00,,20.5,22.1
2026-03-09 00:29,2026-03-09 22:00,,20.0,21.0
2026-03-09 00:29,2026-03-09 23:00,,19.6,20.5
2026-03-09 00:29,2026-03-10 00:00,,19.5,20.3
2026-03-09 00:29,2026-03-10 01:00,,19.3,20.3
2026-03-09 00:29,2026-03-10 02:00,,19.2,20.3
2026-03-09 00:29,2026-03-10 03:00,,19.1,20.2
2026-03-09 00:29,2026-03-10 04:00,,19.1,20.1
2026-03-09 00:29,2026-03-10 05:00,,19.2,20.0
2026-03-09 00:29,2026-03-10 06:00,,19.2,19.9
2026-03-09 00:29,2026-03-10 07:00,,18.8,19.7
2026-03-09 00:29,2026-03-10 08:00,,18.7,19.6
2026-03-09 00:29,2026-03-10 09:00,,18.5,19.6
2026-03-09 00:29,2026-03-10 10:00,,18.7,19.7
2026-03-09 00:29,2026-03-10 11:00,,19.1,20.0
2026-03-09 00:29,2026-03-10 12:00,,19.1,20.3
2026-03-09 00:29,2026-03-10 13:00,,21.4,20.7
2026-03-09 00:29,2026-03-10 14:00,,21.6,20.9
2026-03-09 00:29,2026-03-10 15:00,,21.1,21.2
2026-03-09 00:29,2026-03-10 16:00,,21.1,21.3
2026-03-09 00:29,2026-03-10 17:00,,20.4,21.5
2026-03-09 00:29,2026-03-10 18:00,,19.4,21.4
2026-03-09 00:29,2026-03-10 19:00,,19.3,21.0
2026-03-09 00:29,2026-03-10 20:00,,19.3,20.6
2026-03-09 00:29,2026-03-10 21:00,,19.2,20.3
2026-03-09 00:29,2026-03-10 22:00,,19.0,20.2
2026-03-09 00:29,2026-03-10 23:00,,18.8,20.1
2026-03-09 00:29,2026-03-11 00:00,,18.8,20.0
2026-03-09 00:29,2026-03-11 01:00,,18.7,20.0
2026-03-09 00:29,2026-03-11 02:00,,18.5,19.9
2026-03-09 00:29,2026-03-11 03:00,,18.4,19.9
2026-03-09 00:29,2026-03-11 04:00,,18.2,19.8
2026-03-09 00:29,2026-03-11 05:00,,17.9,19.7
2026-03-09 00:29,2026-03-11 06:00,,17.8,19.6
2026-03-09 00:29,2026-03-11 07:00,,17.8,19.5
2026-03-09 00:29,2026-03-11 08:00,,17.7,19.5
2026-03-09 00:29,2026-03-11 09:00,,17.7,19.5
2026-03-09 00:29,2026-03-11 10:00,,18.1,19.6
2026-03-09 00:29,2026-03-11 11:00,,18.8,19.6
2026-03-09 00:29,2026-03-11 12:00,,19.9,19.6
2026-03-09 00:29,2026-03-11 13:00,,21.1,19.8
2026-03-09 00:29,2026-03-11 14:00,,21.5,20.2
2026-03-09 00:29,2026-03-11 15:00,,22.5,20.4
2026-03-09 00:29,2026-03-11 16:00,,22.9,20.7
2026-03-09 00:29,2026-03-11 17:00,,22.8,21.1
2026-03-09 00:29,2026-03-11 18:00,,21.5,21.2
2026-03-09 00:29,2026-03-11 19:00,,20.9,21.0
2026-03-09 00:29,2026-03-11 20:00,,20.1,20.7
2026-03-09 00:29,2026-03-11 21:00,,19.8,20.4
2026-03-09 00:29,2026-03-11 22:00,,19.3,20.1
2026-03-09 00:29,2026-03-11 23:00,,19.0,20.0
2026-03-09 00:44,2026-03-09 00:00
2026-03-09 00:44,2026-03-09 01:00
2026-03-09 00:44,2026-03-09 02:00
2026-03-09 00:44,2026-03-09 03:00
2026-03-09 00:44,2026-03-09 04:00
2026-03-09 00:44,2026-03-09 05:00
2026-03-09 00:44,2026-03-09 06:00
2026-03-09 00:44,2026-03-09 07:00
2026-03-09 00:44,2026-03-09 08:00
2026-03-09 00:44,2026-03-09 09:00
2026-03-09 00:44,2026-03-09 10:00
2026-03-09 00:44,2026-03-09 11:00
2026-03-09 00:44,2026-03-09 12:00
2026-03-09 00:44,2026-03-09 13:00
2026-03-09 00:44,2026-03-09 14:00
2026-03-09 00:44,2026-03-09 15:00
2026-03-09 00:44,2026-03-09 16:00
2026-03-09 00:44,2026-03-09 17:00
2026-03-09 00:44,2026-03-09 18:00
2026-03-09 00:44,2026-03-09 19:00
2026-03-09 00:44,2026-03-09 20:00
2026-03-09 00:44,2026-03-09 21:00
2026-03-09 00:44,2026-03-09 22:00
2026-03-09 00:44,2026-03-09 23:00
2026-03-09 00:44,2026-03-10 00:00
2026-03-09 00:44,2026-03-10 01:00
2026-03-09 00:44,2026-03-10 02:00
2026-03-09 00:44,2026-03-10 03:00
2026-03-09 00:44,2026-03-10 04:00
2026-03-09 00:44,2026-03-10 05:00
2026-03-09 00:44,2026-03-10 06:00
2026-03-09 00:44,2026-03-10 07:00
2026-03-09 00:44,2026-03-10 08:00
2026-03-09 00:44,2026-03-10 09:00
2026-03-09 00:44,2026-03-10 10:00
2026-03-09 00:44,2026-03-10 11:00
2026-03-09 00:44,2026-03-10 12:00
2026-03-09 00:44,2026-03-10 13:00
2026-03-09 00:44,2026-03-10 14:00
2026-03-09 00:44,2026-03-10 15:00
2026-03-09 00:44,2026-03-10 16:00
2026-03-09 00:44,2026-03-10 17:00
2026-03-09 00:44,2026-03-10 18:00
2026-03-09 00:44,2026-03-10 19:00
2026-03-09 00:44,2026-03-10 20:00
2026-03-09 00:44,2026-03-10 21:00
2026-03-09 00:44,2026-03-10 22:00
2026-03-09 00:44,2026-03-10 23:00
2026-03-09 00:44,2026-03-11 00:00
2026-03-09 00:44,2026-03-11 01:00
2026-03-09 00:44,2026-03-11 02:00
2026-03-09 00:44,2026-03-11 03:00
2026-03-09 00:44,2026-03-11 04:00
2026-03-09 00:44,2026-03-11 05:00
2026-03-09 00:44,2026-03-11 06:00
2026-03-09 00:44,2026-03-11 07:00
2026-03-09 00:44,2026-03-11 08:00
2026-03-09 00:44,2026-03-11 09:00
2026-03-09 00:44,2026-03-11 10:00
2026-03-09 00:44,2026-03-11 11:00
2026-03-09 00:44,2026-03-11 12:00
2026-03-09 00:44,2026-03-11 13:00
2026-03-09 00:44,2026-03-11 14:00
2026-03-09 00:44,2026-03-11 15:00
2026-03-09 00:44,2026-03-11 16:00
2026-03-09 00:44,2026-03-11 17:00
2026-03-09 00:44,2026-03-11 18:00
2026-03-09 00:44,2026-03-11 19:00
2026-03-09 00:44,2026-03-11 20:00
2026-03-09 00:44,2026-03-11 21:00
2026-03-09 00:44,2026-03-11 22:00
2026-03-09 00:44,2026-03-11 23:00
